Account Number,Name,Balance,Email,Phone Number,Account Type,Credit Score,Address
5332126633,Alex White,7855.77,cameron.smith@yahoo.com,9283803510,Credit,498,"530 Broadway, Riverside, CA"
1631049654,John Brown,8561.47,jane.brown@outlook.com,5945163305,Credit,838,"206 Maple St, Madison, PA"
3205516055,John Anderson,9128.21,taylor.harris@yahoo.com,9910115778,Checking,361,"242 High St, Riverside, TX"
1246715613,Jane Taylor,3743.84,jane.anderson@outlook.com,0829529855,Credit,562,"112 Park Ave, Springfield, CA"
0417658506,Cameron Doe,1436.4,morgan.johnson@example.com,3649029631,Checking,386,"480 Broadway, Greenville, CA"
5834225796,John White,8690.69,taylor.harris@outlook.com,5900473015,Loan,741,"236 Main St, Madison, NY"
6374165221,Chris Johnson,6834.51,pat.smith@outlook.com,7481577614,Checking,364,"240 Park Ave, Springfield, CA"
4365825102,Pat Johnson,7802.25,alex.jackson@example.com,3549695047,Savings,763,"685 Broadway, Fairview, CA"
9321828869,Jordan Jackson,7586.34,chris.taylor@gmail.com,2745429196,Checking,767,"748 Broadway, Madison, FL"
4516061724,Pat Jackson,7224.06,taylor.harris@gmail.com,3155075947,Loan,388,"312 Broadway, Riverside, CA"
5969350092,John Anderson,9999.58,chris.jackson@gmail.com,0698234207,Savings,742,"991 Maple St, Springfield, NY"
9457451853,Cameron Johnson,2984.21,morgan.jackson@yahoo.com,7758360589,Credit,795,"801 Park Ave, Riverside, FL"
1336002251,Taylor Johnson,8020.12,taylor.thomas@example.com,5575197127,Loan,390,"884 Broadway, Springfield, FL"
4059950352,Jordan Doe,3908.13,chris.white@outlook.com,0445210441,Loan,848,"964 High St, Riverside, CA"
1217031218,Alex Thomas,5606.13,jordan.anderson@gmail.com,1494899279,Loan,769,"546 Park Ave, Madison, FL"
4507835053,John Smith,5495.48,jordan.brown@yahoo.com,7760299684,Checking,480,"981 Maple St, Riverside, FL"
8709863047,Jane Taylor,5838.04,john.white@gmail.com,0027323033,Checking,550,"552 High St, Greenville, FL"
4247102720,Casey Smith,985.23,jane.anderson@outlook.com,2310152209,Savings,647,"350 Park Ave, Riverside, PA"
5036099636,Casey Thomas,1967.5,alex.brown@outlook.com,4843665171,Credit,658,"588 Maple St, Riverside, FL"
8900478012,Chris Brown,9847.31,alex.jackson@outlook.com,1914849266,Savings,686,"835 Main St, Riverside, CA"
1874656072,Jordan Brown,1619.39,casey.doe@outlook.com,8792295113,Savings,749,"371 High St, Riverside, NY"
8518380881,Casey Thomas,2120.36,pat.taylor@outlook.com,8147764499,Credit,805,"292 Maple St, Madison, FL"
2901000014,Chris Taylor,6791.72,taylor.johnson@outlook.com,9644796399,Loan,482,"521 Broadway, Fairview, TX"
3915530515,Taylor Jackson,5400.22,jordan.smith@gmail.com,0957513807,Credit,421,"430 High St, Madison, CA"
2160925906,Jane Doe,7540.46,cameron.jackson@gmail.com,2779336525,Savings,644,"494 Broadway, Riverside, NY"
5055290683,John Thomas,7169.53,cameron.harris@yahoo.com,1566820275,Loan,812,"232 Broadway, Fairview, NY"
1197048662,Casey Johnson,2844.0,morgan.harris@example.com,5175272187,Checking,726,"814 Maple St, Springfield, CA"
3380299971,Morgan Brown,2719.09,morgan.taylor@gmail.com,4779992527,Loan,483,"299 Park Ave, Riverside, TX"
8121098143,Pat Brown,3885.61,cameron.johnson@outlook.com,9100882741,Loan,744,"222 Broadway, Riverside, NY"
9919538717,Jane Doe,1789.56,john.johnson@yahoo.com,8273305082,Savings,481,"738 High St, Greenville, TX"
0672053228,John White,1862.95,alex.jackson@gmail.com,9489956688,Checking,795,"615 Maple St, Fairview, PA"
2823534803,Morgan White,2729.19,john.white@outlook.com,7293302198,Savings,331,"271 Broadway, Fairview, PA"
8830628277,Cameron Taylor,9596.82,casey.johnson@gmail.com,3244964042,Checking,474,"232 Maple St, Greenville, PA"
5689039981,Chris Johnson,1505.57,morgan.harris@yahoo.com,4640925395,Savings,639,"571 High St, Springfield, FL"
6216548469,John Jackson,2046.86,taylor.thomas@outlook.com,1400160445,Checking,410,"182 High St, Springfield, TX"
2219978506,Chris Thomas,5949.44,alex.brown@outlook.com,0962305288,Credit,315,"254 Broadway, Madison, CA"
1563454761,Chris Smith,6970.05,jordan.anderson@outlook.com,2284520111,Checking,399,"575 Broadway, Riverside, NY"
2060948480,Morgan Taylor,1861.56,pat.smith@gmail.com,6032786276,Loan,692,"624 High St, Fairview, PA"
1555804529,Jordan Harris,1064.85,chris.jackson@gmail.com,5111295290,Loan,537,"747 Maple St, Riverside, PA"
4536367409,John Smith,3227.4,casey.thomas@yahoo.com,7242587706,Savings,797,"224 Maple St, Riverside, PA"
0822511607,Taylor White,7496.28,john.jackson@outlook.com,1354491453,Loan,592,"580 Maple St, Springfield, PA"
9800234103,Jordan Brown,6602.07,taylor.johnson@gmail.com,2050981608,Checking,499,"838 High St, Madison, TX"
8567686124,Jane Taylor,3316.8,morgan.brown@outlook.com,9927329698,Loan,750,"657 Main St, Riverside, FL"
7813493710,Pat Harris,5191.78,cameron.thomas@outlook.com,0017775624,Savings,503,"256 Maple St, Riverside, CA"
3589312374,Jane White,2021.9,alex.doe@gmail.com,0198731429,Savings,746,"503 Main St, Madison, FL"
5541834937,Casey Anderson,9663.19,cameron.brown@yahoo.com,9865441581,Credit,776,"415 Maple St, Riverside, FL"
0867227553,Casey White,8699.34,alex.taylor@gmail.com,5920572845,Credit,316,"786 Broadway, Riverside, TX"
4052088324,Pat Smith,2258.18,john.anderson@example.com,5065579566,Savings,522,"966 Maple St, Fairview, FL"
3800364201,Jane Jackson,5237.97,casey.anderson@example.com,2575987381,Loan,453,"546 High St, Riverside, FL"
7052886815,John Brown,3160.99,jane.johnson@outlook.com,5980549747,Loan,419,"161 Main St, Madison, PA"
4418042475,Alex Brown,7532.74,alex.doe@yahoo.com,0430138710,Checking,310,"123 Maple St, Riverside, CA"
0640394814,Alex Jackson,8296.39,morgan.smith@yahoo.com,0780318490,Credit,706,"110 Broadway, Springfield, CA"
8745620767,Casey Smith,6879.75,alex.harris@gmail.com,4714768856,Checking,395,"496 High St, Fairview, TX"
3888643464,Casey Doe,1682.89,jane.taylor@outlook.com,1613976435,Credit,750,"669 Main St, Riverside, CA"
2801803105,Casey Doe,8837.17,john.taylor@gmail.com,3949134783,Loan,577,"917 Park Ave, Greenville, TX"
2946535693,Jordan Johnson,4433.91,jordan.doe@example.com,7689252143,Credit,539,"424 High St, Fairview, FL"
8381485381,Chris Anderson,6534.1,casey.smith@gmail.com,3157343227,Credit,658,"496 Maple St, Madison, NY"
2636212838,Chris Thomas,2525.77,cameron.white@example.com,3692310654,Loan,688,"313 Maple St, Springfield, NY"
1655734635,Pat Anderson,6548.04,jane.brown@example.com,3055283092,Loan,788,"105 Broadway, Greenville, PA"
1802346962,Cameron White,8001.16,taylor.white@yahoo.com,2928843882,Checking,712,"787 Maple St, Madison, PA"
1699077278,Cameron Thomas,5330.02,pat.harris@outlook.com,1337666159,Checking,753,"960 Main St, Madison, PA"
4582263266,Taylor Johnson,7108.0,taylor.johnson@example.com,3218727657,Loan,633,"275 Park Ave, Madison, TX"
4226481205,Morgan Thomas,6023.08,alex.taylor@yahoo.com,6848276434,Checking,552,"137 Park Ave, Fairview, TX"
6603429855,Jordan Brown,5400.54,taylor.johnson@yahoo.com,2731565955,Loan,467,"816 Broadway, Riverside, FL"
9092484606,Morgan Johnson,5895.12,pat.harris@example.com,7764446644,Loan,423,"556 High St, Riverside, FL"
6506523409,Taylor Brown,540.74,morgan.smith@example.com,0988216876,Credit,738,"830 High St, Madison, PA"
2150407512,Jane Jackson,1633.54,john.brown@yahoo.com,4865929721,Loan,815,"612 Broadway, Fairview, PA"
4100038697,Taylor Thomas,2578.25,pat.thomas@yahoo.com,0911781999,Savings,685,"111 Maple St, Madison, TX"
0218253904,Taylor Doe,8025.52,jordan.harris@gmail.com,4058868876,Savings,756,"519 Main St, Greenville, PA"
5213724506,Alex Doe,9355.47,jordan.harris@yahoo.com,9945050315,Credit,320,"420 Main St, Riverside, FL"
4000819302,Cameron Jackson,7240.01,taylor.jackson@yahoo.com,3982679205,Savings,416,"531 Broadway, Riverside, TX"
8632483085,Chris Smith,878.35,john.jackson@gmail.com,7066177358,Credit,581,"939 Broadway, Springfield, CA"
1815913369,Alex Doe,8586.97,morgan.white@gmail.com,8661694916,Loan,676,"258 Main St, Springfield, FL"
4063845471,Jordan Brown,2566.71,morgan.smith@example.com,6869868148,Savings,778,"162 Broadway, Fairview, TX"
8828847022,Jane Johnson,2867.9,alex.jackson@gmail.com,1015526380,Credit,375,"970 Broadway, Fairview, FL"
7353376198,Morgan Doe,8059.72,pat.taylor@outlook.com,2469035112,Checking,687,"526 Broadway, Greenville, TX"
3624375725,Casey Doe,138.02,john.smith@example.com,1008833340,Checking,486,"687 Park Ave, Madison, CA"
2873146456,Chris Smith,2188.43,alex.doe@example.com,6598250733,Credit,446,"423 High St, Springfield, FL"
